Step 3640: Loss: 7.2354 | Avg: 7.9962
Step 3650: Loss: 7.3585 | Avg: 7.9945
Step 3660: Loss: 6.9694 | Avg: 7.9917
Step 3670: Loss: 6.8629 | Avg: 7.9886
Step 3680: Loss: 7.6888 | Avg: 7.9878
Step 3690: Loss: 7.2323 | Avg: 7.9858
Step 3700: Loss: 7.2858 | Avg: 7.9839
Eval Step 3700: Train: 7.2301 | Val: 7.2677
Step 3710: Loss: 6.8380 | Avg: 7.9808
Step 3720: Loss: 7.0066 | Avg: 7.9782
Step 3730: Loss: 7.0100 | Avg: 7.9756
Step 3740: Loss: 7.0811 | Avg: 7.9732
Step 3750: Loss: 7.0465 | Avg: 7.9708
Eval Step 3750: Train: 7.2407 | Val: 7.3193
Step 3760: Loss: 7.3537 | Avg: 7.9691
Step 3770: Loss: 7.2454 | Avg: 7.9672
Step 3780: Loss: 6.8181 | Avg: 7.9642
Step 3790: Loss: 6.8489 | Avg: 7.9612
Step 3800: Loss: 6.9375 | Avg: 7.9586
Step 3810: Loss: 7.2875 | Avg: 7.9568
Step 3820: Loss: 7.0995 | Avg: 7.9546
Step 3830: Loss: 7.0285 | Avg: 7.9521
Step 3840: Loss: 7.2439 | Avg: 7.9503
Step 3850: Loss: 7.0777 | Avg: 7.9480
Step 3860: Loss: 7.4011 | Avg: 7.9466
Step 3870: Loss: 7.2734 | Avg: 7.9449
Step 3880: Loss: 7.0493 | Avg: 7.9426
Step 3890: Loss: 7.0247 | Avg: 7.9402
Step 3900: Loss: 7.0204 | Avg: 7.9379
Step 3910: Loss: 6.9389 | Avg: 7.9353
Step 3920: Loss: 7.2372 | Avg: 7.9336
Step 3930: Loss: 7.0209 | Avg: 7.9312
Step 3940: Loss: 7.1436 | Avg: 7.9293
Eval Step 3949: Train: 7.2052 | Val: 7.4094
Step 3950: Loss: 7.1931 | Avg: 7.9274
Step 3960: Loss: 7.1933 | Avg: 7.9255
Step 3970: Loss: 7.6741 | Avg: 7.9249
Step 3980: Loss: 7.6253 | Avg: 7.9242
Step 3990: Loss: 7.2844 | Avg: 7.9226
Step 4000: Loss: 7.7441 | Avg: 7.9221
Eval Step 4000: Train: 7.2972 | Val: 7.4387
Safety checkpoint saved to safety_checkpoint_step_4000.pt
Step 4010: Loss: 7.1647 | Avg: 7.9202
Step 4020: Loss: 6.7813 | Avg: 7.9174
Step 4030: Loss: 7.2683 | Avg: 7.9158
Step 4040: Loss: 7.1314 | Avg: 7.9139
Step 4050: Loss: 7.7457 | Avg: 7.9135
Step 4060: Loss: 7.0916 | Avg: 7.9114
Step 4070: Loss: 6.9468 | Avg: 7.9091
Step 4080: Loss: 7.9238 | Avg: 7.9091
Step 4090: Loss: 7.0746 | Avg: 7.9071
Step 4100: Loss: 7.4675 | Avg: 7.9060
Step 4110: Loss: 7.3535 | Avg: 7.9047
Step 4120: Loss: 7.3387 | Avg: 7.9033
Step 4130: Loss: 6.7500 | Avg: 7.9005
Step 4140: Loss: 7.2926 | Avg: 7.8990
Step 4150: Loss: 7.3505 | Avg: 7.8977
Step 4160: Loss: 7.4242 | Avg: 7.8966
Step 4170: Loss: 7.4069 | Avg: 7.8954
Step 4180: Loss: 7.0002 | Avg: 7.8933
Step 4190: Loss: 7.5604 | Avg: 7.8925
Eval Step 4197: Train: 7.3375 | Val: 7.4861
Step 4200: Loss: 7.4259 | Avg: 7.8914
Step 4210: Loss: 7.3395 | Avg: 7.8901
Step 4220: Loss: 7.1436 | Avg: 7.8883
